0	Unclassified
0	k__Bacteria
0	k__Bacteria	p__Pseudomonadota
0	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria
0	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales
0	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae
0	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia
0	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Alloherpesviridae	g__Batravirus
4	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Alloherpesviridae	g__Batravirus	s__Batravirus_ranidallo1
2	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Alloherpesviridae	s__Batravirus_ranidallo3
0	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Alloherpesviridae	g__Batrachovirus
2	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Alloherpesviridae	g__Batrachovirus	s__Bufonid_herpesvirus_1
0	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Alloherpesviridae	g__Ictavirus
2	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Alloherpesviridae	g__Ictavirus	s__Ictavirus_ictaluridallo2
0	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Malacoherpesviridae
0	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Malacoherpesviridae	g__Ostreavirus
2	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Malacoherpesviridae	g__Ostreavirus	s__Ostreavirus_ostreidmalaco1
0	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Malacoherpesviridae	g__Aurivirus
2	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Malacoherpesviridae	g__Aurivirus	s__Aurivirus_haliotidmalaco1
0	k__Viruses	p__Nucleocytoviricota
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Imitervirales
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Imitervirales	f__Mimiviridae
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Imitervirales	f__Mimiviridae	g__Tupanvirus
2364	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Imitervirales	f__Mimiviridae	g__Tupanvirus	s__Tupanvirus_deep_ocean
88	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Imitervirales	f__Mimiviridae	g__Tupanvirus	s__Tupanvirus_soda_lake
594	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Imitervirales	f__Mimiviridae	s__Moumouvirus
138	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Imitervirales	f__Mimiviridae	s__Cotonvirus_japonicus
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Imitervirales	f__Mimiviridae	g__Klosneuvirus
66	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Imitervirales	f__Mimiviridae	g__Klosneuvirus	s__Bodo_saltans_virus
2	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Imitervirales	f__Mimiviridae	s__Yellowstone_lake_mimivirus
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Imitervirales	f__Mimiviridae	g__Mimivirus
378	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Imitervirales	f__Mimiviridae	g__Mimivirus	s__Mimivirus_bradfordmassiliense
122	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Imitervirales	f__Mimiviridae	g__Mimivirus	s__Megavirus_chiliensis
22	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Imitervirales	f__Mimiviridae	g__Mimivirus	s__Mimivirus_terra2
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Imitervirales	f__Mimiviridae	g__Rheavirus
68	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Imitervirales	f__Mimiviridae	g__Rheavirus	s__Rheavirus_sinusmexicani
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae
70	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	s__Tetraselmis_virus_1
58	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	s__Orpheovirus_IHUMI-LCC2
44	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	s__Prymnesium_kappa_virus
38	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	s__Aureococcus_anophagefferens_virus
22	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	s__Chrysochromulina_ericina_virus
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Prasinovirus
12	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Prasinovirus	s__Dishui_lake_phycodnavirus_1
8	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Prasinovirus	s__Ostreococcus_tauri_virus_1
6	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Prasinovirus	s__Micromonas_pusilla_virus_12T
4	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Prasinovirus	s__Micromonas_sp._RCC1109_virus_MpV1
2	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Prasinovirus	s__Bathycoccus_sp._RCC1105_virus_BpV
2	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Prasinovirus	s__Yellowstone_lake_phycodnavirus_3
4	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Prasinovirus	s__Micromonas_pusilla_virus_SP1
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Prymnesiovirus
22	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Prymnesiovirus	s__Chrysochromulina_parva_virus
12	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Prymnesiovirus	s__Phaeocystis_globosa_virus
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Chlorovirus
10	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Chlorovirus	s__Paramecium_bursaria_Chlorella_virus_A1
10	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Chlorovirus	s__Only_Syngen_Nebraska_virus_5
6	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Chlorovirus	s__Paramecium_bursaria_Chlorella_virus_1
4	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Chlorovirus	s__Acanthocystis_turfacea_chlorella_virus_1
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Coccolithovirus
6	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Coccolithovirus	s__Emiliania_huxleyi_virus_86
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Phaeovirus
4	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Phaeovirus	s__Feldmannia_irregularis_virus_a
2	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Phaeovirus	s__Ectocarpus_siliculosus_virus_1
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Raphidovirus
4	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	g__Raphidovirus	s__Heterosigma_akashiwo_virus_01
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Iridoviridae
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Iridoviridae	g__Lymphocystivirus
28	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Iridoviridae	g__Lymphocystivirus	s__Lymphocystis_disease_virus_4
24	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Iridoviridae	g__Lymphocystivirus	s__Lymphocystis_disease_virus_2
6	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Iridoviridae	g__Lymphocystivirus	s__Lymphocystis_disease_virus_1
2	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Iridoviridae	g__Lymphocystivirus	s__Lymphocystis_disease_virus_Sa
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Iridoviridae	g__Ranavirus
6	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Iridoviridae	g__Ranavirus	s__Santee-Cooper_ranavirus
2	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Iridoviridae	g__Ranavirus	s__Epizootic_haematopoietic_necrosis_virus
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Iridoviridae	g__Chloriridovirus
40	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Iridoviridae	g__Chloriridovirus	s__Anopheles_minimus_iridovirus
2	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Iridoviridae	g__Chloriridovirus	s__Invertebrate_iridescent_virus_3
2	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Iridoviridae	g__Chloriridovirus	s__Invertebrate_iridovirus_25
10	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Iridoviridae	s__Daphnia_iridovirus_1
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Marseilleviridae
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Marseilleviridae	g__Marseillevirus
8	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Marseilleviridae	g__Marseillevirus	s__Golden_Marseillevirus
2	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Marseilleviridae	g__Marseillevirus	s__Melbournevirus
2	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Marseilleviridae	g__Marseillevirus	s__Brazilian_marseillevirus
2	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Marseilleviridae	g__Marseillevirus	s__Noumeavirus
10	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Marseilleviridae	s__Tunisvirus
8	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Marseilleviridae	s__Lausannevirus
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Ascoviridae
0	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Ascoviridae	g__Ascovirus
4	k__Viruses	p__Nucleocytoviricota	c__Megaviricetes	o__Pimascovirales	f__Ascoviridae	g__Ascovirus	s__Ascovirus_TnAV2a
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Sciuripoxvirus
280	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Sciuripoxvirus	s__Squirrelpox_virus
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Oryzopoxvirus
138	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Oryzopoxvirus	s__BeAn_58058_virus
2	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Oryzopoxvirus	s__Cotia_virus
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Avipoxvirus
52	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Avipoxvirus	s__Turkeypox_virus
44	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Avipoxvirus	s__Penguinpox_virus
8	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Avipoxvirus	s__Canarypox_virus
4	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Avipoxvirus	s__Fowlpox_virus
2	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Avipoxvirus	s__Flamingopox_virus_FGPVKD09
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Parapoxvirus
46	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Parapoxvirus	s__Parapoxvirus_of_red_deer_in_New_Zealand
28	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Parapoxvirus	s__Bovine_papular_stomatitis_virus
6	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Parapoxvirus	s__Orf_virus
2	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Parapoxvirus	s__Pseudocowpox_virus
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Molluscipoxvirus
36	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Molluscipoxvirus	s__Molluscum_contagiosum_virus
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Pteropopoxvirus
12	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Pteropopoxvirus	s__Pteropox_virus
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Yatapoxvirus
8	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Yatapoxvirus	s__Tanapox_virus
2	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Yatapoxvirus	s__Yaba_monkey_tumor_virus
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Centapoxvirus
4	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Centapoxvirus	s__Yokapox_virus
4	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Centapoxvirus	s__NY_014_poxvirus
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Orthopoxvirus
8	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Orthopoxvirus	s__Variola_virus
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Cervidpoxvirus
4	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Cervidpoxvirus	s__Mule_deerpox_virus
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Macropopoxvirus
2	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Macropopoxvirus	s__Eastern_kangaroopox_virus
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Salmonpoxvirus
2	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Salmonpoxvirus	s__Salmon_gillpox_virus
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Capripoxvirus
2	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Capripoxvirus	s__Sheeppox_virus
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Vespertilionpoxvirus
2	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Vespertilionpoxvirus	s__Eptesipox_virus
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Betaentomopoxvirus
68	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Betaentomopoxvirus	s__Choristoneura_biennis_entomopoxvirus
58	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Betaentomopoxvirus	s__Choristoneura_rosaceana_entomopoxvirus
56	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Betaentomopoxvirus	s__Amsacta_moorei_entomopoxvirus
8	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Betaentomopoxvirus	s__Adoxophyes_honmai_entomopoxvirus
2	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Betaentomopoxvirus	s__Mythimna_separata_entomopoxvirus
8	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	s__Diachasmimorpha_entomopoxvirus
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Deltaentomopoxvirus
6	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Deltaentomopoxvirus	s__Melanoplus_sanguinipes_entomopoxvirus
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Alphaentomopoxvirus
4	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	g__Alphaentomopoxvirus	s__Anomala_cuprea_entomopoxvirus
2	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Chitovirales	f__Poxviridae	s__Linepithema_humile_entomopoxvirus_1
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Asfuvirales
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Asfuvirales	f__Asfarviridae
0	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Asfuvirales	f__Asfarviridae	g__Asfivirus
18	k__Viruses	p__Nucleocytoviricota	c__Pokkesviricetes	o__Asfuvirales	f__Asfarviridae	g__Asfivirus	s__African_swine_fever_virus
0	k__Viruses	p__Preplasmiviricota
0	k__Viruses	p__Preplasmiviricota	c__Tectiliviricetes
0	k__Viruses	p__Preplasmiviricota	c__Tectiliviricetes	o__Rowavirales
0	k__Viruses	p__Preplasmiviricota	c__Tectiliviricetes	o__Rowavirales	f__Adenoviridae
0	k__Viruses	p__Preplasmiviricota	c__Tectiliviricetes	o__Rowavirales	f__Adenoviridae	g__Mastadenovirus
2218	k__Viruses	p__Preplasmiviricota	c__Tectiliviricetes	o__Rowavirales	f__Adenoviridae	g__Mastadenovirus	s__Skunk_mastadenovirus_A
84	k__Viruses	p__Preplasmiviricota	c__Tectiliviricetes	o__Rowavirales	f__Adenoviridae	g__Mastadenovirus	s__Human_mastadenovirus_D
10	k__Viruses	p__Preplasmiviricota	c__Tectiliviricetes	o__Rowavirales	f__Adenoviridae	g__Mastadenovirus	s__Simian_mastadenovirus_B
6	k__Viruses	p__Preplasmiviricota	c__Tectiliviricetes	o__Rowavirales	f__Adenoviridae	g__Mastadenovirus	s__Human_mastadenovirus_C
6	k__Viruses	p__Preplasmiviricota	c__Tectiliviricetes	o__Rowavirales	f__Adenoviridae	g__Mastadenovirus	s__Simian_adenovirus_B
4	k__Viruses	p__Preplasmiviricota	c__Tectiliviricetes	o__Rowavirales	f__Adenoviridae	g__Mastadenovirus	s__Murine_mastadenovirus_B
4	k__Viruses	p__Preplasmiviricota	c__Tectiliviricetes	o__Rowavirales	f__Adenoviridae	g__Mastadenovirus	s__Dolphin_mastadenovirus_B
2	k__Viruses	p__Preplasmiviricota	c__Tectiliviricetes	o__Rowavirales	f__Adenoviridae	g__Mastadenovirus	s__Simian_mastadenovirus_F
2	k__Viruses	p__Preplasmiviricota	c__Tectiliviricetes	o__Rowavirales	f__Adenoviridae	g__Mastadenovirus	s__Bat_mastadenovirus_C
2	k__Viruses	p__Preplasmiviricota	c__Tectiliviricetes	o__Rowavirales	f__Adenoviridae	g__Mastadenovirus	s__Simian_mastadenovirus_I
2	k__Viruses	p__Preplasmiviricota	c__Tectiliviricetes	o__Rowavirales	f__Adenoviridae	g__Mastadenovirus	s__Murine_mastadenovirus_C
0	k__Viruses	p__Preplasmiviricota	c__Tectiliviricetes	o__Rowavirales	f__Adenoviridae	g__Aviadenovirus
4	k__Viruses	p__Preplasmiviricota	c__Tectiliviricetes	o__Rowavirales	f__Adenoviridae	g__Aviadenovirus	s__Turkey_aviadenovirus_B
0	k__Viruses	p__Preplasmiviricota	c__Maveriviricetes
0	k__Viruses	p__Preplasmiviricota	c__Maveriviricetes	o__Priklausovirales
0	k__Viruses	p__Preplasmiviricota	c__Maveriviricetes	o__Priklausovirales	f__Lavidaviridae
0	k__Viruses	p__Preplasmiviricota	c__Maveriviricetes	o__Priklausovirales	f__Lavidaviridae	g__Sputnikvirus
2	k__Viruses	p__Preplasmiviricota	c__Maveriviricetes	o__Priklausovirales	f__Lavidaviridae	g__Sputnikvirus	s__Mimivirus-dependent_virus_Zamilon
0	k__Viruses	p__Dividoviricota
0	k__Viruses	p__Dividoviricota	c__Laserviricetes
0	k__Viruses	p__Dividoviricota	c__Laserviricetes	o__Halopanivirales
0	k__Viruses	p__Dividoviricota	c__Laserviricetes	o__Halopanivirales	f__Sphaerolipoviridae
0	k__Viruses	p__Dividoviricota	c__Laserviricetes	o__Halopanivirales	f__Sphaerolipoviridae	g__Alphasphaerolipovirus
2	k__Viruses	p__Dividoviricota	c__Laserviricetes	o__Halopanivirales	f__Sphaerolipoviridae	g__Alphasphaerolipovirus	s__Alphasphaerolipovirus_HHIV2
2	k__Viruses	p__Dividoviricota	c__Laserviricetes	o__Halopanivirales	f__Sphaerolipoviridae	g__Alphasphaerolipovirus	s__Alphasphaerolipovirus_SH1
0	k__Viruses	p__Cossaviricota
0	k__Viruses	p__Cossaviricota	c__Quintoviricetes
0	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales
0	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae
0	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Aveparvovirus
2440	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Aveparvovirus	s__Aveparvovirus_galliform1
0	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Protoparvovirus
2	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Protoparvovirus	s__Newlavirus
0	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Bocaparvovirus
2	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Bocaparvovirus	s__Bocaparvovirus_ungulate4
0	k__Viruses	p__Cossaviricota	c__Papovaviricetes
0	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales
0	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales	f__Papillomaviridae
0	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales	f__Papillomaviridae	g__Epsilonpapillomavirus
8	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales	f__Papillomaviridae	g__Epsilonpapillomavirus	s__Epsilonpapillomavirus_2
0	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales	f__Papillomaviridae	g__Taupapillomavirus
2	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales	f__Papillomaviridae	g__Taupapillomavirus	s__Canine_papillomavirus_22
0	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Sepolyvirales
0	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Sepolyvirales	f__Polyomaviridae
0	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Sepolyvirales	f__Polyomaviridae	g__Betapolyomavirus
6	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Sepolyvirales	f__Polyomaviridae	g__Betapolyomavirus	s__Betapolyomavirus_octipanos
0	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Sepolyvirales	f__Polyomaviridae	g__Alphapolyomavirus
4	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Sepolyvirales	f__Polyomaviridae	g__Alphapolyomavirus	s__Alphapolyomavirus_molossi
0	k__Viruses	p__Cressdnaviricota
0	k__Viruses	p__Cressdnaviricota	c__Repensiviricetes
0	k__Viruses	p__Cressdnaviricota	c__Repensiviricetes	o__Geplafuvirales
0	k__Viruses	p__Cressdnaviricota	c__Repensiviricetes	o__Geplafuvirales	f__Geminiviridae
0	k__Viruses	p__Cressdnaviricota	c__Repensiviricetes	o__Geplafuvirales	f__Geminiviridae	g__Begomovirus
12	k__Viruses	p__Cressdnaviricota	c__Repensiviricetes	o__Geplafuvirales	f__Geminiviridae	g__Begomovirus	s__Bhendi_yellow_vein_Delhi_virus
6	k__Viruses	p__Cressdnaviricota	c__Repensiviricetes	o__Geplafuvirales	f__Geminiviridae	g__Begomovirus	s__Tomato_yellow_margin_leaf_curl_virus
